,Fine,On Fire,Burned Out,Rain
0,9900,100,0,0.59
1,9748,109,143,0.59
2,9643,83,274,0.59
3,9595,27,378,0.59
4,9580,14,406,0.59
5,9533,21,446,0.59
6,9489,19,492,0.59
7,9471,15,514,0.59
8,9458,7,535,0.59
9,9456,5,539,0.59
10,9449,6,545,0.59
11,9438,8,554,0.59
12,9443,0,557,0.59
