,Fine,On Fire,Burned Out,Rain
0,9900,100,0,0
1,9440,232,328,0
2,8947,260,793,0
3,8420,258,1322,0
4,7919,251,1830,0
5,7484,240,2276,0
6,6996,252,2752,0
7,6548,251,3201,0
8,6061,257,3682,0
9,5532,269,4199,0
10,5037,256,4707,0
11,4539,254,5207,0
12,4005,279,5716,0
13,3506,251,6243,0
14,2994,255,6751,0
15,2513,248,7239,0
16,2016,251,7733,0
17,1495,283,8222,0
18,907,305,8788,0
19,374,279,9347,0
20,61,115,9824,0
21,3,27,9970,0
22,0,0,10000,0
